mape,wape,rmse,mae,r2,model,improvement_vs_baseline
29.772161475075993,29.772161475075993,,,,Ensemble_Avg,59.11767662315991
29.804717684159098,29.804717684159098,,,,Ensemble_Trimmed,59.072971321236366
29.85777183086764,29.85777183086764,,,,Ensemble_Median,59.000118808192035
1.8287624277860729e+19,30.575013970383026,137085.7319862113,62689.12871722151,0.8569406660059877,RandomForest,58.015221386091454
1.8890867245465825e+19,30.90492259064347,137608.55874751488,63365.553067524714,0.8558473665539093,XGBoost,57.562199830717134
1.8047742572833155e+19,30.93127995826584,137268.63118284833,63419.594593495116,0.8565586730474681,LightGBM,57.52600660949595
2.0277639131474153e+19,32.723007163832584,142532.2012686621,67093.24189009893,0.8453472407041892,GBDT,55.065655483079304
34.808525461985944,34.808525461985944,,,,Ensemble_Weighted,52.20187840915742
1.2670856566340874e+19,36.03085595069926,148902.25427635905,73875.45165712827,0.8312148501628845,Ridge,50.5234073866627
72.82404476048437,72.82404476048437,,,,Baseline_Seasonal,0.0
81.0455322265625,81.0455322265625,,,,Transformer,-11.289523251720366
84.85911560058594,84.85911560058594,,,,LSTM,-16.52623234494112
85.22680052713581,85.22680052713581,,,,Baseline_Mean,-17.031127297918772
