mape,wape,rmse,mae,r2,model,improvement_vs_baseline
9.39827772846265e+18,59.50440983371581,163152.85882927038,36969.13414586777,0.38933037882335186,RandomForest,38.306401337234284
59.95713180026612,59.95713180026612,,,,Ensemble_Median,37.83702356526373
60.50819838085503,60.50819838085503,,,,Ensemble_Trimmed,37.26568304521959
9.427008218174482e+18,60.57618647947702,170389.572381283,37635.01176237181,0.3339559305483567,GBDT,37.1951936397797
8.027792402458248e+18,61.829902211542844,168877.33186135933,38413.92521112372,0.34572600760858896,XGBoost,35.89535325101848
62.644690250045834,62.644690250045834,,,,Ensemble_Avg,35.05058886493186
8.835198770804664e+18,66.79568170874805,170301.52913888128,41499.08425873031,0.33464406572365446,LightGBM,30.746880924270293
71.24450761191366,71.24450761191366,,,,Ensemble_Weighted,26.13438110186383
1.7055062743810118e+19,72.17205284970997,174789.8061149443,44839.337300204454,0.29911116648183467,Ridge,25.172711138207767
92.2756576538086,92.2756576538086,,,,Transformer,4.329487418742137
96.24301147460938,96.24301147460938,,,,LSTM,0.21617321131360165
96.45151380937168,96.45151380937168,,,,Baseline_Seasonal,0.0
121.47685569287212,121.47685569287212,,,,Baseline_Mean,-25.946033291878585
