ref_branch_code,material_nature_sum_desc,CV,seasonal_strength,residual_cv,length,CV_pct,Fs_pct,ResCV_pct,score,predictability_level
CAT_008,CAT_001,0.4835211140986437,0.99876824424704,0.018396892769289953,27,0.100633078343445,0.9752044315484041,0.021234502769717754,94.558164072804,high
CAT_008,CAT_002,0.5449629375139711,0.9977684483383731,0.02586951986708613,27,0.18201002374043787,0.9695331047217093,0.027433394882616723,90.95225534159852,high
CAT_008,CAT_003,2.0826152224917367,0.9972468360875453,0.1000226520022809,27,0.9783698232656292,0.9683460828277499,0.05803218148245846,58.43840675283567,medium
CAT_008,CAT_005,1.0927026621206493,0.9999938802460545,0.0027204350700854893,26,0.8514903719335267,0.9972302822474282,0.0042205222896333425,65.7451859667634,medium
CAT_008,CAT_008,1.1974590542695795,0.10424685510949017,1.2647551443477285,27,0.8889475072540227,0.03613822210498549,0.9502769717752572,6.882089158533369,low
CAT_008,CAT_009,0.4788120047486888,0.9910579089239306,0.04374473455989913,27,0.09535742548140333,0.9551569506726457,0.03666578739118966,93.65866525982591,high
CAT_008,CAT_010,1.1916879977405126,0.9685290021551093,0.1915269975827507,27,0.8884199419678185,0.9374835135848061,0.09206014244262728,60.12134001582696,medium
CAT_012,CAT_001,0.4082861378871621,0.8044545073963479,0.19398607409948435,38,0.034291743603270905,0.8528092851490372,0.09351094697968873,90.87048272223687,high
CAT_012,CAT_002,0.8198687573431132,0.9999846429284444,0.002971619087354624,26,0.6467950408863097,0.9959113690319177,0.004879978897388552,73.86705354787655,high
CAT_012,CAT_003,0.6704088407547342,0.7588974905409075,0.20607219239286748,38,0.39316802954365604,0.8140332366130308,0.1012925349512002,74.80875758375099,high
CAT_012,CAT_004,0.24578104178598756,0.9972928500695122,0.012322903856965193,35,0.0017145871801635452,0.9684779741493009,0.01490371933526774,98.37246109206015,high
CAT_012,CAT_005,1.1891025247262892,0.7554927467859487,0.5844656988601816,36,0.886705354787655,0.8090213663940913,0.6901872856766025,43.0888947507254,low
CAT_012,CAT_007,0.702463839032136,0.660199426837166,0.47776634212106567,36,0.452914798206278,0.6974413083619098,0.5295436560274334,59.19018728567661,medium
CAT_012,CAT_008,0.6380161717765317,0.7927643248070462,0.3206430641112041,37,0.3315747823793194,0.8442363492482194,0.24096544447375362,75.68715378528094,high
CAT_012,CAT_009,0.5060706606547499,0.3441114700444792,0.41192660220714156,35,0.12780269058295965,0.2223687681350567,0.4100501187021894,55.58164072804009,medium
CAT_012,CAT_010,0.4992796415529275,0.6207702572647211,0.3432288793118972,35,0.11883408071748879,0.6460036929570034,0.28132418886837246,75.46030071221314,high
CAT_024,CAT_001,0.38325827733715345,0.5696491659443748,0.24609015193866923,36,0.021630176734370878,0.5729359008177262,0.13373780005275654,79.3774729622791,high
CAT_024,CAT_002,0.7156005480693771,0.5710915189036951,0.46075917857162413,35,0.47810604062252704,0.5742548140332366,0.5002637826431021,53.84067528356634,medium
CAT_024,CAT_003,1.580793405768825,0.8047361757940175,0.6919070465415015,36,0.9509364283830124,0.8532049591136903,0.7963597995251912,40.163545238723295,low
CAT_024,CAT_004,0.8238014466508591,0.16381910972784697,0.7301431916667251,32,0.6516750197836982,0.06304405170139805,0.8215510419414402,20.02374043787919,low
CAT_024,CAT_005,1.181383291996533,0.7194212912226783,0.758030770219473,33,0.8843313109997362,0.7694539699287787,0.8383012397784225,38.63888156159325,low
CAT_024,CAT_006,0.6010890093697139,0.8056353940134042,0.2903723201670897,31,0.2644420997098391,0.8539963070429966,0.18979161171194936,79.78633605908732,high
CAT_024,CAT_007,0.5816988221900842,0.6103566977910777,0.3546531813188788,35,0.2355579002901609,0.6312318649432868,0.3024268003165392,69.77842257979425,medium
CAT_024,CAT_008,0.9207144358174754,0.7161210500491564,0.4963227989084851,35,0.7566605117383276,0.7660247955684516,0.5650224215246636,49.074122922711695,low
CAT_024,CAT_009,0.9187357157183946,0.8688939562858655,0.29807156511412913,35,0.7552097072012661,0.8923766816143498,0.2019256132946452,61.448166710630446,medium
CAT_024,CAT_010,1.7310435424173347,0.9875500310943205,0.17229615423731104,35,0.9618834080717489,0.9513321023476655,0.0826958586125033,57.9240305987866,medium
CAT_032,CAT_001,0.6641652092230093,0.8374904833642911,0.29287839304106794,34,0.38195726721181744,0.8762859403851226,0.19453969928778686,75.88235294117646,high
CAT_032,CAT_002,0.40490298307232314,0.9988707741900931,0.012685154246394006,31,0.03257715642310736,0.9761276707992614,0.01556317594302295,97.43075705618573,high
CAT_032,CAT_003,0.9286131378596215,0.5273452067263281,0.6905775806518218,33,0.7644420997098391,0.5073859140068584,0.7946452123450277,33.824848324980216,low
CAT_032,CAT_005,0.8945880677205185,0.8248830110198332,0.3626132691091668,29,0.7352941176470589,0.8685043524136112,0.3189132155104194,58.95014508045371,medium
CAT_032,CAT_008,0.5161906921906956,0.812990754617799,0.23842947353161523,32,0.14006858348720655,0.8592719599050382,0.12701134265365338,86.22790820364021,high
CAT_032,CAT_010,0.34607323204223644,0.8990167714765064,0.08743298460833739,29,0.010683197045634397,0.9050382484832498,0.05302031126351886,94.71379583223425,high
CAT_043,CAT_001,0.3718534468895762,0.5615933180973767,0.2251721494072425,38,0.01754154576628858,0.55948298601952,0.11514112371405961,79.37483513584806,high
CAT_043,CAT_002,0.5093539640651135,0.6985748163471884,0.26496046572530374,34,0.13149564758638882,0.7463729886573464,0.15391717225006596,81.516750197837,high
CAT_043,CAT_003,1.1830263607845686,0.3841936636431609,0.8531449140253078,38,0.8848588762859404,0.2755209707201266,0.8778686362437351,18.069111052492747,low
CAT_043,CAT_004,0.45532344157355087,0.8301426947508129,0.20221615624738165,33,0.06897916117119493,0.8718016354523872,0.09839092587707729,90.14508045370614,high
CAT_043,CAT_005,1.3602399146077881,0.5294300131589049,1.1378633517407428,38,0.9231073595357425,0.5104194144025324,0.9388024268003166,24.716433658665263,low
CAT_043,CAT_007,0.5791729427322728,0.8786953812647795,0.1939203464062797,36,0.23265629121603798,0.8981798997625956,0.0933790556581377,84.75336322869956,high
CAT_043,CAT_008,0.6481530640849225,0.6239173338926731,0.3957345838762944,38,0.3504352413611184,0.6507517805328409,0.380638353996307,64.39989448694277,medium
CAT_043,CAT_009,0.7364919466947029,0.7573678724159643,0.35630964248713654,38,0.5163545238723292,0.8121867581113162,0.3057240833553152,65.71880770245319,medium
CAT_043,CAT_010,1.3480276086573901,0.23349608974933767,1.1885533535338382,38,0.92152466367713,0.1081508836718544,0.9439461883408071,8.586125032972832,low
CAT_052,CAT_001,0.44542683978536574,0.7154994410865155,0.22343952586779678,38,0.060801899235030335,0.7657610129253495,0.11369031917699815,85.9245581640728,high
CAT_052,CAT_002,0.6055503908431593,0.45066924165229716,0.45134282095819933,36,0.273542600896861,0.38235294117647056,0.48417304141387496,54.668952782906885,medium
CAT_052,CAT_003,0.5821619877455597,0.8460066536571452,0.230600421350112,38,0.23674492218412027,0.8811659192825112,0.1204167765761013,83.36850435241361,high
CAT_052,CAT_004,0.4941781671760158,0.5107122706246918,0.342540916242583,36,0.11342653653389607,0.4816671063044052,0.279873384331311,69.13215510419415,medium
CAT_052,CAT_005,1.153318014051787,0.32353096052405894,1.039452901819337,38,0.8735162226325508,0.1959905038248483,0.9217884463202322,14.463202321287257,low
CAT_052,CAT_007,0.7847406791485769,0.6995170148037362,0.4094089759493443,34,0.5957530994460565,0.7471643365866526,0.405697705091005,57.94249538380375,medium
CAT_052,CAT_008,0.7504746314323408,0.6133051277166865,0.5118065429547037,38,0.5393036138222105,0.6366394091268794,0.587839620152994,52.13663940912687,medium
CAT_052,CAT_009,0.6521846389247424,0.950603948191459,0.15543253526561054,34,0.35861250329728306,0.9273278818253758,0.07662885782115537,81.2160379847006,high
CAT_052,CAT_010,0.7352074235934627,0.5647892734173561,0.5227381554031078,38,0.5135848061197573,0.5643629649169085,0.6040622527037721,49.949881297810606,low
CAT_063,CAT_001,0.5296026779729089,0.5364304036382763,0.3582673182834737,38,0.16183065154312845,0.521893959377473,0.30928514903719334,68.21682933262991,medium
CAT_063,CAT_002,0.7070955751497905,0.9192353154614239,0.21446864502549182,33,0.46122395146399364,0.9128198364547613,0.10656818781324189,75.93247164336587,high
CAT_063,CAT_003,0.7332713645707687,0.655287937164641,0.4409947125091883,38,0.509364283830124,0.6893959377472962,0.4666314956475864,57.86863624373516,medium
CAT_063,CAT_004,0.6239748554125418,0.8896926453135905,0.22866589787977867,36,0.3046689527829069,0.9014771828013717,0.11843840675283566,81.50356106568188,high
CAT_063,CAT_005,1.18633481273202,0.7285878264696837,0.6917848370244754,37,0.8863096808230019,0.7809285149037193,0.7959641255605381,39.86547085201793,low
CAT_063,CAT_007,0.6027732235537525,0.8810668494100533,0.21424495786215755,36,0.26707992614085996,0.8989712476919018,0.10643629649169084,83.14692693220786,high
CAT_063,CAT_008,0.6500870658335188,0.7039114461082665,0.42971988301027936,38,0.3543919810076497,0.7541545766288579,0.4468477974149301,67.05354787654973,medium
CAT_063,CAT_009,0.6117815050092937,0.5873205357783147,0.3706618241198181,35,0.2848852545502506,0.6005011870218939,0.3343445001318913,65.93774729622791,medium
CAT_063,CAT_010,0.5980134193721971,0.7429530550281034,0.3152859376172616,38,0.25956212081245056,0.7950408863096808,0.23146926932207862,76.78976523344764,high
CAT_069,CAT_001,0.32646432359821925,0.649849806172739,0.19092652371197127,38,0.007649696649960433,0.682141915061989,0.09179635979952519,85.14376154049064,high
CAT_069,CAT_002,0.5861567331657455,0.5684211698459587,0.4333256622090011,38,0.24360327090477446,0.5706937483513584,0.45304668952782906,64.02268530730679,medium
CAT_069,CAT_003,0.8924284646180572,0.8655833558136842,0.3012712132676401,38,0.7335795304668953,0.8902664204695331,0.20838828805064627,62.09970983909259,medium
CAT_069,CAT_004,0.5494119366603754,0.7428403402729723,0.31273571170118875,38,0.18781324188868373,0.7949089949881298,0.22724874703244527,79.73885518332895,high
CAT_069,CAT_005,0.5866789612905015,0.8009248469058796,0.2765580028097773,37,0.24479029279873385,0.8497757847533632,0.1707992614085993,80.78343445001319,high
CAT_069,CAT_006,1.1221572160603375,0.6567964521062264,0.7586336559061747,35,0.8620416776576101,0.6920337641783171,0.8386969137430758,36.42574518596677,low
CAT_069,CAT_007,0.7103432203465944,0.3805919614602863,0.5118273719861323,38,0.4670271696122395,0.2713004484304933,0.587971511474545,40.41150092323925,low
CAT_069,CAT_008,0.39778104813582843,0.5714373101269721,0.2892330092476378,38,0.0286204167765761,0.5757056185702981,0.18794513321023476,78.12450540754419,high
CAT_069,CAT_009,0.517855386635388,0.7442846303742758,0.2647497466590514,38,0.1421788446320232,0.7967554734898443,0.15365338960696387,83.10999736217357,high
CAT_069,CAT_010,0.4157290613951538,0.7493992673133673,0.21065553554042893,38,0.038907939857557375,0.8009759957794778,0.10379847006067001,88.40675283566341,high
CAT_078,CAT_001,0.5449886209915,0.3957310939299782,0.4204532019779577,40,0.18214191506198893,0.29174360327090476,0.42811922975468214,55.82168293326299,medium
CAT_078,CAT_002,1.1222067969039202,0.6220305653064018,0.8117341482671232,36,0.8621735689791612,0.6475863888156159,0.8629649169084674,34.157214455288845,low
CAT_078,CAT_003,1.399824545859523,0.819586697752957,0.6013925424272691,40,0.9302294908994988,0.8642838301239778,0.7144552888419942,43.07306779213928,low
CAT_078,CAT_004,2.6398332992548204,0.00045403071808014506,2.348834938477071,40,0.9950540754418359,0.0002637826431020839,0.9950540754418359,0.30730677921393035,low
CAT_078,CAT_005,1.4186182814631347,0.8178613169938582,0.6229146721719883,35,0.9335267739382749,0.8629649169084674,0.7345027697177525,42.48747032445265,low
